LocalOrderCode;ProductId;Description;Description DE;Price;Weight;DiscountFamilyGroup
PFCF5070;1STQ007669A0000;CABLE ENTRY FLANGE W=500MM D=700MM;FLANSCHPLATTE GESCHLOS. B=500MM T=700MM;32.67;4.8;Missing
PFCF7520;1STQ001307B0000;CABLE ENTRY FLANGE W=750MM D=200MM;FLANSCHPLATTE GESCHLOS.B=750MM T=200MM;23.87;1.6;Missing
PFCF7530;1STQ007675A0000;CABLE ENTRY FLANGE W=750MM D=300MM;FLANSCHPLATTE GESCHLOS. B=750MM T=300MM;27.19;2.2;Missing
PFCF7550;1STQ007676A0000;CABLE ENTRY FLANGE W=750MM D=500MM;FLANSCHPLATTE GESCHLOS. B=750MM T=500MM;29.58;3.8;Missing
PFCF7570;1STQ007677A0000;CABLE ENTRY FLANGE W=750MM D=700MM;FLANSCHPLATTE GESCHLOS. B=750MM T=700MM;39.92;5.5;Missing
PFCF1030;1STQ007683A0000;CABLE ENTRY FLANGE W=1000MM D=300MM;FLANSCHPLATTE GESCHLOS.B=1000MM T=300MM;43.94;3.8;Missing
PFCF1050;1STQ007684A0000;CABLE ENTRY FLANGE W=1000MM D=500MM;FLANSCHPLATTE GESCHLOS.B=1000MM T=500MM;40;6.9;Missing
PFCF1070;1STQ007685A0000;CABLE ENTRY FLANGE W=1000MM D=700MM;FLANSCHPLATTE GESCHLOS.B=1000MM T=700MM;53.24;9.4;Missing
PFCF6030;1STQ007671A0000;CABLE ENTRY FLANGE W=600MM D=300MM;FLANSCHPLATTE GESCHLOS. B=600MM T=300MM;25.05;2.0;Missing
PFCF6050;1STQ007672A0000;CABLE ENTRY FLANGE W=600MM D=500MM;FLANSCHPLATTE GESCHLOS. B=600MM T=500MM;30.69;3.5;Missing
PFCF6070;1STQ007673A0000;CABLE ENTRY FLANGE W=600MM D=700MM;FLANSCHPLATTE GESCHLOS. B=600MM T=700MM;35.67;5.5;Missing
PDLB1126COL;1STQ004361B0000;IP65 OVERL.BLIND DOOR H2100 W500 SPECIAL COLOUR VERSION;IP65 ÜBERLAPPEND BLIND TÜR H2100 B500 GEFÄRBTE VERSION;207;24.0;Missing
PDLB8126COL;1STQ004362B0000;IP65 OVERL.BLIND DOOR H1800 W500 SPECIAL COLOUR VERSION;IP65 ÜBERLAPPEND BLIND TÜR H1800 B500 GEFÄRBTE VERSION;189.75;22.0;Missing
PDLG1126COL;1STQ004363B0000;IP65 GL. OVERL.DOOR H=2100 W=500 SPECIAL COLOUR VERSION;IP65 GLAS TUR+UBERLAG. H=2100 B=500 GEFÄRBTE VERSION;310.5;24.0;Missing
PDLG8126COL;1STQ004364B0000;IP65 GL.DOOR  H=1800MM W=500MM SPECIAL COLOUR VERSION;IP65 GLAS TUR H=1800MM B=500MM GEFÄRBTE VERSION;284.625;20.0;Missing
PDNB1406COL;1STQ004365B0000;IP65 BL.DOOR X DOUB.D. H2100 W750 NO LE. SPECIAL COLOUR VERSION;IP65 BLINDTÜR DO.TÜR H2100 B750 NO HEBEL GEFÄRBTE VERSION;249.9295;31.0;Missing
PDNB1506COL;1STQ004366B0000;IP65 BL.DOOR X DOU.D. H2100 W500 NO LE. SPECIAL COLOUR VERSION;IP65 BLINDTÜR D.TÜR H2100 B500 NO HEBEL GEFÄRBTE VERSION;207;24.0;Missing
PDNB1816COL;1STQ004367B0000;IP65 BLIND DOOR H1800 W1000 NO LEVER SPECIAL COLOUR VERSION;IP65 BLINDTÜR H1800 B1000 NO HEBEL GEFÄRBTE VERSION;352.268;34.5;Missing
PDNB1826COL;1STQ004368B0000;IP65 BLIND DOOR H1800 W250 NO LEVER SPECIAL COLOUR VERSION;IP65 BLINDTÜR H1800 B250 NO HEBEL GEFÄRBTE VERSION;130.088;15.5;Missing
PDNB1856COL;1STQ004369B0000;IP65 BLIND DOOR H1800 W500 NO LEVER SPECIAL COLOUR VERSION;IP65 BLINDTÜR H1800 B500 NO HEBEL GEFÄRBTE VERSION;175.0415;22.0;Missing
PDNB1876COL;1STQ004370B0000;IP65 BLIND DOOR H1800 W750 NO LEVER SPECIAL COLOUR VERSION;IP65 BLINDTÜR H1800 B750 NO HEBEL GEFÄRBTE VERSION;223.8935;28.0;Missing
PDNB2116COL;1STQ004371B0000;IP65 BLIND DOOR H2100 W1000 NO LEVER SPECIAL COLOUR VERSION;IP65 BLINDTÜR H2100 B1000 NO HEBEL GEFÄRBTE VERSION;381.938;38.5;Missing
PDNB2126COL;1STQ004372B0000;IP65 BLIND DOOR H2100 W250 NO LEVER SPECIAL COLOUR VERSION;IP65 BLINDTÜR H2100 B250 NO HEBEL GEFÄRBTE VERSION;157.2165;17.0;Missing
PDNB2156COL;1STQ004373B0000;IP65 BLIND DOOR H2100 W500 NO LEVER SPECIAL COLOUR VERSION;IP65 BLINDTÜR H2100 B500 NO HEBEL GEFÄRBTE VERSION;193.2345;24.0;Missing
PDNB2176COL;1STQ004374B0000;IP65 BLIND DOOR H2100 W750 NO LEVER SPECIAL COLOUR VERSION;IP65 BLINDTÜR H2100 B750 NO HEBEL GEFÄRBTE VERSION;241.4425;31.0;Missing
PDNB8406COL;1STQ004375B0000;IP65 BL.DOOR X DOUB.D. H1800 W750 NO LE. SPECIAL COLOUR VERSION;IP65 BLINDTÜR DOP.TÜR H1800 B750 NO HEB. GEFÄRBTE VERSION;255.2655;28.0;Missing
PDNB8506COL;1STQ004376B0000;IP65 BL.DOOR X DOU.D. H1800 W500 NO LE. SPECIAL COLOUR VERSION;IP65 BLINDTÜR DO.TÜR H1800 B500 NO HEB. GEFÄRBTE VERSION;189.75;22.0;Missing
