ProductId;LocalOrderCode;HasGraphicalItem;Description;Price;weight;UnitOfMeasure;Quantity;Accessory;;;;;;;;;;;;;;;;;
1SDA050162R1;1SDA050162R1;0;SHUNT OPEN.RELEAS ADDIT.120/127V E1/6-T8;715;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050163R1;1SDA050163R1;0;SHUNT OPEN.RELEAS ADDIT.220/240V E1/6-T8;715;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050164R1;1SDA050164R1;0;SHUNT OPEN.RELEAS ADDIT.240/250V E1/6-T8;715;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050165R1;1SDA050165R1;0;SHUNT OPEN.REL.ADDI. 380/400V AC E1/6-T8;826;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050166R1;1SDA050166R1;0;SHUNT OPEN.REL.ADDIT. 440V AC E1/6-T8;826;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050228R1;1SDA050228R1;0;SOR TEST UNIT T7-T7M-X1-E1/6-T8-E1.2/6.2;410;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050230R1;1SDA050230R1;0;1/2 KIT STANDARD TERMINALS;1.1;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050542R1;1SDA050542R1;0;RCQ + TOR CL 185 mm;1076;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050543R1;1SDA050543R1;0;TOR CL 185 mm RCQ;544;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050688R1;1SDA050688R1;0;KIT ES T6 - S6 6pcs;352;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050689R1;1SDA050689R1;0;KIT ES T6 - S6 8pcs;468;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050692R1;1SDA050692R1;0;KIT ES UP T6 - S6 3pcs;176;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050693R1;1SDA050693R1;0;KIT ES T6 - S6 4pcs;234;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050696R1;1SDA050696R1;0;KIT INSUL. PARTIT. DIV.PHASE 3p S6-S7-T6;65.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050697R1;1SDA050697R1;0;KIT INSULAT. PART. DIV.PHASE 4p S6-S7-T6;98;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050699R1;1SDA050699R1;0;KEY LOCK RONIS IN OPEN POS. E1/6;136;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA050704R1;1SDA050704R1;0;KIT ES LO T6 - S6 3pcs;176;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051333R1;1SDA051333R1;0;SOR T1-T2-T3 24...30Va.c./d.c.;77.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051334R1;1SDA051334R1;0;SOR T1-T2-T3 48...60Va.c./d.c.;77.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051335R1;1SDA051335R1;0;SOR T1-T2-T3 110...127Vac-110...125Vdc;77.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051336R1;1SDA051336R1;0;SOR T1-T2-T3 220...240Vac-220...250Vdc;77.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051337R1;1SDA051337R1;0;SOR T1-T2-T3 380...440Va.c.;77.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051338R1;1SDA051338R1;0;SOR T1-T2-T3 480...525Va.c.;77.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051339R1;1SDA051339R1;0;SOR-C T1-T2-T3 24...30Va.c./d.c.;103;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051340R1;1SDA051340R1;0;SOR-C T1-T2-T3 48...60Va.c./d.c.;103;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051341R1;1SDA051341R1;0;SOR-C T1-T2-T3 110...127Vac-110...125Vdc;103;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051342R1;1SDA051342R1;0;SOR-C T1-T2-T3 220...240Vac-220...250Vdc;103;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051343R1;1SDA051343R1;0;SOR-C T1-T2-T3 380...440Va.c.;103;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051344R1;1SDA051344R1;0;SOR-C T1-T2-T3 480...525Va.c.;103;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051345R1;1SDA051345R1;0;UVR T1-T2-T3 24...30Va.c./d.c.;105;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051346R1;1SDA051346R1;0;UVR T1-T2-T3 48Va.c./d.c.;105;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051347R1;1SDA051347R1;0;UVR T1-T2-T3 110...127Vac-110...125Vdc;105;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051348R1;1SDA051348R1;0;UVR T1-T2-T3 220...240Vac-220...250Vdc;105;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051349R1;1SDA051349R1;0;UVR T1-T2-T3 380...440Va.c.;105;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051350R1;1SDA051350R1;0;UVR T1-T2-T3 480...525Va.c.;105;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051351R1;1SDA051351R1;0;UVR-C T1-T2-T3 24...30Va.c./d.c.;134;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051352R1;1SDA051352R1;0;UVR-C T1-T2-T3 48Va.c./d.c.;134;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051353R1;1SDA051353R1;0;UVR-C T1-T2-T3 110...127Vac-110...125Vdc;134;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051354R1;1SDA051354R1;0;UVR-C T1-T2-T3 220...240Vac-220...250Vdc;134;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051355R1;1SDA051355R1;0;UVR-C T1-T2-T3 380...440Va.c.;134;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051356R1;1SDA051356R1;0;UVR-C T1-T2-T3 480...525Va.c.;134;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051357R1;1SDA051357R1;0;UVD T1..T6 - XT1..XT4 24..30Va.c./d.c.;340;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051358R1;1SDA051358R1;0;UVD T1..T6 - XT1..XT4 48..60Va.c./d.c.;340;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051359R1;1SDA051359R1;0;UVD T1...T5 60Va.c./d.c.;0;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051360R1;1SDA051360R1;0;UVD T1..T6 - XT1..XT4 110..125Va.c./d.c.;340;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051361R1;1SDA051361R1;0;UVD T1..T6 - XT1..XT4 220..250Va.c./d.c.;340;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051362R1;1SDA051362R1;0;CONNECTORS PLUG-SOCKET 12PIN T1...T6;33.2;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051363R1;1SDA051363R1;0;CONNECTORS PLUG-SOCKET 6PIN T1...T6;22.1;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051364R1;1SDA051364R1;0;CONNECTORS PLUG-SOCKET 3PIN T1...T6;16.8;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051365R1;1SDA051365R1;0;KIT 12 CABLES L=2M AUX T1-T2-T3;26.1;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051366R1;1SDA051366R1;0;KIT 6 CABLES L=2M AUX T1-T2-T3;17.3;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051367R1;1SDA051367R1;0;KIT 2 CABLES L=2M SOR-UVR T1-T2-T3;13;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051368R1;1SDA051368R1;0;AUX T1...T6 1Q 1SY;50.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051369R1;1SDA051369R1;0;AUX T1...T6 3Q 1SY;116;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051370R1;1SDA051370R1;0;AUX-C T1-T2-T3 1Q 1SY;84;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051371R1;1SDA051371R1;0;AUX-C T1-T2-T3 3Q 1SY;168;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051372R1;1SDA051372R1;0;AUP T2-T3 1 CON.INSERTED SIGNALLING;43.1;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051374R1;1SDA051374R1;0;AUE T1-T2-T3 2 EARLY CONTACTS;86.5;0;pcs;1;;;;;;;;;;;;;;;;;;
1SDA051376R1;1SDA051376R1;0;MOS T1-T2-T3 Frontale 48...60Vd.c.;0;0;pcs;1;;;;;;;;;;;;;;;;;;
